SrNo, Time, Temperature, Humidity, PPM
1,19:18:58,28.4,61.7,35
2,19:18:58,28.4,61.8,35
3,19:18:58,28.4,61.8,35
4,19:18:58,28.4,61.8,35
5,19:18:58,28.4,61.8,35
6,19:18:58,28.4,61.600004,35
1,19:18:23,28.4,61.600004,35
2,19:18:23,28.4,61.600004,35
3,19:18:23,28.4,61.7,35
4,19:18:23,28.4,61.7,35
5,19:18:23,28.4,61.8,35
6,19:18:23,28.4,61.8,35
7,19:18:23,28.4,61.600004,35
8,19:18:23,28.4,61.9,35
9,19:18:23,28.4,62.4,35
10,19:18:23,28.4,62.2,35
11,19:18:23,28.4,61.9,35
12,19:18:23,28.4,61.8,35
13,19:18:23,28.4,61.7,35
14,19:18:23,28.4,61.7,35
1,13:14:33,28.5,61.7,35
2,13:14:33,28.4,61.600004,35
1,22:43:25,28.5,61.600004,35
2,22:43:25,28.5,61.7,35
3,22:43:25,28.5,61.600004,35
29,19:14:28,27.9,62.0,52
30,19:14:30,27.9,61.9,52
31,19:14:33,27.9,62.100004,52
32,19:14:35,27.9,62.0,52
33,19:14:37,27.9,61.9,52
34,19:14:39,27.9,61.9,52
35,19:14:42,27.9,62.0,52
36,19:14:44,27.800002,62.0,52
37,19:14:46,27.800002,62.2,52
38,19:14:49,27.9,62.100004,52
39,19:14:51,27.9,62.2,52
40,19:14:53,27.800002,61.9,52
41,19:14:56,27.800002,61.9,53
42,19:14:58,27.9,62.0,52
43,19:15:00,27.9,62.100004,52
44,19:15:03,27.9,62.2,52
45,19:15:05,27.9,62.0,51
46,19:15:07,27.9,61.9,51
47,19:15:10,27.9,62.0,51
48,19:15:12,27.9,61.9,51
49,19:15:14,27.800002,61.9,51
50,19:15:17,27.800002,61.8,51
51,19:15:19,27.800002,61.8,51
52,19:15:21,27.800002,61.8,50
53,19:15:24,27.800002,62.0,50
54,19:15:26,27.800002,61.7,50
55,19:15:28,27.800002,61.9,50
56,19:15:30,27.800002,62.100004,51
57,19:15:33,27.800002,62.100004,51
58,19:15:35,27.800002,62.100004,51
59,19:15:37,27.800002,62.100004,50
60,19:15:40,27.800002,62.100004,51
61,19:15:42,27.800002,62.0,51
62,19:15:44,27.800002,62.100004,51
63,19:15:47,27.9,62.0,50
64,19:15:49,27.9,61.8,50
65,19:15:51,27.9,61.9,50
66,19:15:54,27.9,61.8,51
67,19:15:56,27.9,61.7,50
68,19:15:58,27.9,61.600004,50
69,19:16:01,27.9,61.600004,50
70,19:16:03,27.9,61.600004,50
71,19:16:05,27.9,61.600004,50
72,19:16:08,27.9,61.600004,50
73,19:16:10,27.9,61.3,49
74,19:16:12,27.9,61.3,49
75,19:16:15,27.9,61.5,49
76,19:16:17,27.9,61.4,49
77,19:16:19,27.9,61.600004,49
78,19:16:22,27.9,61.5,49
79,19:16:24,27.9,61.600004,49
80,19:16:26,27.9,61.4,49
81,19:16:28,27.9,61.600004,49
82,19:16:31,27.800002,61.5,49
83,19:16:33,27.800002,61.600004,49
84,19:16:36,27.800002,61.7,49
85,19:16:38,27.800002,61.600004,49
86,19:16:40,27.800002,61.600004,48
87,19:16:42,27.800002,61.7,48
88,19:16:45,27.800002,61.4,48
89,19:16:47,27.800002,61.7,48
90,19:16:49,27.800002,61.8,48
91,19:16:52,27.800002,61.8,48
92,19:16:54,27.7,61.8,48
93,19:16:56,27.7,61.8,47
94,19:16:59,27.7,61.600004,48
95,19:17:01,27.800002,62.0,48
96,19:17:03,27.7,62.0,48
97,19:17:06,27.800002,62.0,48
98,19:17:08,27.7,62.0,48
99,19:17:10,27.7,62.100004,48
100,19:17:13,27.7,62.0,48
101,19:17:15,27.7,62.0,48
102,19:17:17,27.7,62.0,48
103,19:17:20,27.7,62.100004,48
104,19:17:22,27.7,62.2,48
105,19:17:24,27.7,62.2,47
106,19:17:27,27.7,62.2,48
107,19:17:29,27.7,62.3,47
108,19:17:31,27.7,62.5,47
109,19:17:34,27.7,62.3,47
110,19:17:36,27.6,62.3,47
111,19:17:38,27.6,62.3,48
112,19:17:41,27.7,62.4,48
113,19:17:43,27.6,62.600004,48
114,19:17:45,27.6,62.5,48
115,19:17:48,27.6,62.5,48
116,19:17:50,27.7,62.4,48
117,19:17:52,27.7,62.3,48
118,19:17:55,27.6,62.4,48
119,19:17:57,27.7,62.600004,48
120,19:17:59,27.7,62.4,47
121,19:18:02,27.6,62.3,47
122,19:18:04,27.7,62.4,47
123,19:18:06,27.7,62.5,47
124,19:18:08,27.7,62.4,47
125,19:18:11,27.7,62.2,47
126,19:18:13,27.7,62.600004,47
127,19:18:15,27.7,62.5,47
128,19:18:18,27.7,62.4,47
129,19:18:20,27.7,62.4,47
130,19:18:22,27.7,62.4,47
131,19:18:25,27.7,62.4,47
132,19:18:27,27.7,62.4,47
133,19:18:29,27.7,62.4,47
134,19:18:32,27.6,62.4,47
135,19:18:34,27.7,62.3,47
136,19:18:36,27.7,62.5,46
137,19:18:39,27.6,62.5,47
138,19:18:41,27.6,62.4,46
139,19:18:43,27.7,62.5,46
140,19:18:46,27.7,62.7,46
141,19:18:48,27.7,62.5,47
142,19:18:50,27.7,62.5,46
143,19:18:53,27.7,62.600004,46
144,19:18:55,27.7,62.7,46
145,19:18:57,27.7,62.8,46
146,19:19:00,27.7,62.600004,46
147,19:19:02,27.7,62.600004,46
148,19:19:04,27.6,62.7,46
149,19:19:07,27.7,62.600004,46
150,19:19:09,27.6,62.600004,46
151,19:19:11,27.7,62.5,46
152,19:19:14,27.6,62.600004,45
153,19:19:16,27.6,62.7,46
154,19:19:18,27.6,62.600004,46
155,19:19:21,27.6,62.8,46
156,19:19:23,27.7,62.8,46
157,19:19:25,27.6,62.600004,46
158,19:19:28,27.7,62.600004,46
159,19:19:30,27.6,62.7,46
160,19:19:32,27.7,62.7,45
161,19:19:35,27.7,62.7,46
162,19:19:37,27.7,62.7,46
163,19:19:39,27.7,62.600004,46
164,19:19:41,27.7,62.600004,45
165,19:19:44,27.7,62.600004,46
166,19:19:46,27.6,62.600004,46
167,19:19:48,27.7,62.5,46
168,19:19:51,27.7,62.7,46
169,19:19:53,27.7,62.600004,46
170,19:19:55,27.7,62.7,46
171,19:19:58,27.7,62.7,46
172,19:20:00,27.7,62.7,46
173,19:20:02,27.7,62.7,46
174,19:20:05,27.7,62.7,46
175,19:20:07,27.7,62.5,46
176,19:20:09,27.7,62.600004,46
177,19:20:12,27.800002,62.7,46
178,19:20:14,27.800002,62.7,45
179,19:20:16,27.800002,62.600004,45
180,19:20:19,27.800002,62.5,45
181,19:20:21,27.800002,62.600004,45
182,19:20:23,27.800002,62.4,45
183,19:20:26,27.800002,62.5,45
184,19:20:28,27.7,62.600004,45
185,19:20:30,27.800002,62.5,45
186,19:20:32,27.800002,62.3,45
187,19:20:35,27.9,62.4,45
188,19:20:37,27.9,62.5,45
189,19:20:39,27.800002,62.3,45
190,19:20:42,27.800002,62.2,45
191,19:20:44,27.800002,62.5,45
192,19:20:46,27.800002,62.4,45
193,19:20:49,27.9,62.4,45
194,19:20:51,27.800002,62.3,45
195,19:20:53,27.9,62.2,45
196,19:20:56,27.800002,62.5,45
197,19:20:58,27.9,62.3,45
198,19:21:00,27.9,62.4,45
199,19:21:03,27.800002,62.4,45
200,19:21:05,27.9,62.3,45
201,19:21:07,27.9,62.3,45
202,19:21:09,27.9,62.100004,45
203,19:21:12,27.9,62.4,44
204,19:21:14,27.9,62.3,45
205,19:21:16,27.9,62.4,45
206,19:21:19,27.9,62.4,44
207,19:21:21,27.9,62.3,45
208,19:21:23,27.9,62.5,45
209,19:21:26,27.9,62.3,44
210,19:21:28,27.9,62.4,44
211,19:21:30,27.9,62.3,45
212,19:21:33,28.0,62.4,45
213,19:21:35,27.9,62.3,45
214,19:21:37,27.9,62.600004,45
215,19:21:40,28.0,62.600004,45
216,19:21:42,28.0,62.4,45
217,19:21:44,28.0,62.4,45
218,19:21:47,28.0,62.5,45
219,19:21:49,28.0,62.5,45
220,19:21:51,28.0,62.4,45
221,19:21:54,28.0,62.100004,45
222,19:21:56,28.1,61.9,45
223,19:21:58,28.0,62.2,44
224,19:22:01,28.1,62.2,44
225,19:22:03,28.0,62.2,44
226,19:22:05,28.1,62.2,44
227,19:22:08,28.0,62.100004,44
228,19:22:10,28.0,62.100004,44
